ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,penukonda.png,vizianagaram_.png,thamballapalle.png,amalapuram.png,Srungavarapukota.png,kodur.png,srikakulam_.png,venkatagiri.png,guntur_east.png,alur.png,vishakapatnam_west.png,undi.png,kakinada.png,eluru.png,venkat_krishna.png,palakollu.png,kondapi.png,penamaluru.png,myudukur.png,Rajam.png,pulivendula.png,kanigiri.png,sarvepalli.png,kalayan_durg.png,pedana.png,kaikuluru.png,madugula.png,sattenapalli.png,Etcherla.png,Venkata_Mahesh.png,vizianagaram.png,tekkali.png
jI3eqnSlJ6o,2023-01-02,368.0,23.0,2963.0,0.9950660467147828,Sakshi,jogi ramesh ,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
FmPhm1EtRAQ,2022-03-23,291.0,21.0,15434.0,-0.9990856647491456,Sakshi,jogi ramesh ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SB4XvfHtdmA,2023-02-10,299.0,2.0,1607.0,-0.9992771744728088,ABN,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HwOMATd8DWE,2022-06-28,306.0,34.0,21675.0,0.9978042244911194,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zcz9dRf3xhw,2022-06-12,547.0,286.0,687771.0,0.9958221912384032,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DqauTUo-Xh0,2022-06-21,1327.0,12.0,5159.0,0.9946891069412231,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XUVSeLuqqbs,2019-12-27,180.0,2.0,6410.0,0.9981972575187684,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
H4Kq0WrC-Qc,2023-02-21,283.0,3.0,857.0,0.9953004121780396,TV9,jogi ramesh ,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
P7_arlAn8GQ,2023-01-02,356.0,3.0,1754.0,-0.9981622099876404,TV9,jogi ramesh ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-yHzjwyP0-g,2022-10-18,270.0,12.0,3673.0,-0.9937998652458192,ABN,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u3CcuYHrYF8,2022-11-10,21.0,3.0,9295.0,-0.9986180067062378,ABN,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hP9M9z8-jMk,2022-02-12,157.0,44.0,4455.0,0.993376076221466,Sakshi,jogi ramesh ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
sq4bb6fbQg8,2022-12-12,369.0,7.0,9337.0,0.9970219731330872,Sakshi,jogi ramesh ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
-S4QYOHq2Nw,2022-12-09,284.0,14.0,17495.0,-0.9983383417129515,TV9,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahafi3Kakag,2022-08-29,184.0,21.0,2201.0,-0.9992814660072328,TV5,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cJDBbzlH52M,2022-12-10,208.0,35.0,3910.0,-0.9990552067756652,Sakshi,jogi ramesh ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
qOMnuQxIJGo,2022-12-24,266.0,3.0,1976.0,-0.9985659718513488,TV9,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-R3_7sz4bvU,2022-11-15,564.0,35.0,8574.0,0.8881499171257019,Sakshi,jogi ramesh ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
JjH8AGA3sDE,2023-04-15,495.0,29.0,7611.0,0.9983577132225036,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KVGpagv7JwA,2022-07-13,400.0,11.0,7510.0,0.997900128364563,Sakshi,jogi ramesh ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2Ih7i-hoUdA,2022-12-09,318.0,3.0,979.0,0.982504427433014,TV9,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
C_RAjB0imUc,2022-05-02,402.0,52.0,37362.0,0.9980564713478088,Sakshi,jogi ramesh ,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0
cOkhGHjgPPM,2023-01-02,122.0,1.0,9688.0,0.9984020590782166,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oFzdQJ2bNfI,2023-04-07,1144.0,1.0,2596.0,0.9903809428215028,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5h8gCG_VHxY,2022-12-09,288.0,0.0,954.0,0.985765814781189,TV9,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ZekLcLWqLjM,2022-11-05,544.0,243.0,18993.0,-0.9980452060699464,Sakshi,jogi ramesh ,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
U28xUpYJn2Y,2022-05-27,255.0,13.0,10922.0,-0.9981923699378968,Sakshi,jogi ramesh ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
JH24hRq8_P4,2022-09-09,112.0,59.0,19443.0,-0.9967854022979736,TV5,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mGh5OjTkOf4,2022-11-03,839.0,103.0,9392.0,0.988148868083954,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RmRx9-ic5EE,2022-12-08,1453.0,9.0,3902.0,0.9903809428215028,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XXsis_ShDvM,2022-03-05,216.0,24.0,2818.0,-0.9977854490280152,Sakshi,jogi ramesh ,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
RL5YDDQCAy4,2022-06-04,10914.0,9.0,4594.0,0.9943962097167968,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vBEHscg7SH8,2022-03-24,157.0,4.0,1715.0,-0.9937627911567688,Sakshi,jogi ramesh ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pn4amA1fD7Y,2022-09-17,273.0,29.0,7122.0,-0.9725980758666992,TV5,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60qwLdtQNzk,2023-01-13,89.0,58.0,10144.0,-0.9939472675323486,TV9,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
gc1u2xB2uR8,2022-06-11,2241.0,14.0,8820.0,0.9943962097167968,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE0RJbRACjA,2023-04-08,601.0,11.0,1117.0,0.986012876033783,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opg3gDCXiIc,2022-11-23,176.0,14.0,1662.0,-0.9903661012649536,Sakshi,jogi ramesh ,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
kBxXAczU-DU,2022-10-10,12309.0,25.0,11679.0,0.9968923926353456,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7FE23gmTVgs,2022-12-04,685.0,7.0,2549.0,0.9976757168769836,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s6621SEWZTg,2022-10-18,148.0,25.0,1171.0,-0.999257743358612,Sakshi,jogi ramesh ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
tDMVq2HQoxs,2022-06-16,513.0,216.0,51478.0,-0.9977902173995972,Sakshi,jogi ramesh ,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
h837nn5f_D8,2022-03-14,130.0,8.0,4449.0,-0.997952938079834,Sakshi,jogi ramesh ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
vVVGRFnoQDk,2022-03-05,1122.0,23.0,26525.0,0.9926345944404602,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59NuBMg4o1M,2022-07-04,3087.0,5.0,10205.0,0.9940528273582458,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Opot_RDcvQ,2019-12-21,52.0,0.0,1543.0,0.998439371585846,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TZxWy2L3TTA,2022-09-22,632.0,11.0,2847.0,-0.990100085735321,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0STKft8umuk,2022-08-26,274.0,6.0,3549.0,-0.99739009141922,TV5,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kdyGExwOEq4,2022-11-24,125.0,3.0,9564.0,-0.996682107448578,TV9,jogi ramesh ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yLP3sI_40r4,2022-06-25,283.0,136.0,62399.0,-0.9994114637374878,Sakshi,jogi ramesh ,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QQoIkSVhHoM,2020-03-04,1099.0,42.0,320524.0,-0.9993579983711244,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OZLG7z6stsg,2022-11-22,245.0,7.0,1481.0,-0.9988864064216614,ABN,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4egoIWqFSx4,2022-06-28,696.0,196.0,89088.0,-0.9962741136550904,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gWzp6nnkJdc,2022-12-10,303.0,3.0,3379.0,-0.9923171997070312,Sakshi,jogi ramesh ,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fbZxGwZn1Po,2023-03-19,339.0,99.0,99741.0,0.997858464717865,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z30h_WD_4sY,2022-12-15,246.0,2.0,862.0,-0.9969233870506288,TV9,jogi ramesh ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71fSNMwkQL0,2022-10-27,217.0,1.0,1083.0,-0.9272435307502748,TV5,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBuZqIko8EY,2022-08-13,232.0,4.0,1170.0,0.9985352754592896,Sakshi,jogi ramesh ,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
3TpcT0SozUc,2022-11-28,177.0,0.0,1315.0,-0.9965127110481262,TV9,jogi ramesh ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ANSVsbnJHzo,2021-09-17,1365.0,46.0,9418.0,-0.9920169115066528,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IecoTw8HaRQ,2023-02-28,295.0,2.0,473.0,-0.9979846477508544,TV5,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
