ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,penukonda.png,vizianagaram_.png,kodur.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,puthalapattu.png,chintalapudi.png,eluru.png,palakollu.png,penamaluru.png,myudukur.png,Rajam.png,jaggampeta.png,kanigiri.png,Pendurthi.png,kalayan_durg.png,pedana.png,kaikuluru.png,Etcherla.png,tekkali.png
Cv6tPsKLyio,2022-11-09,70.0,50.0,67141.0,0.988644242286682,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q-L7l2AjoC4,2022-10-01,119.0,45.0,18523.0,-0.997941792011261,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rOeIh6nDCdU,2022-10-28,165.0,51.0,42565.0,-0.9983536005020142,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KUEb0JTYkyc,2022-11-03,187.0,61.0,16337.0,-0.9979985356330872,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xqic8XkdneQ,2023-01-07,139.0,3.0,1516.0,0.9949538111686708,TV9,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PkoQXgAVIEc,2023-03-10,185.0,1.0,544.0,-0.9992080330848694,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uZOPhrAMXl8,2022-11-04,220.0,27.0,19209.0,-0.9983951449394226,TV5,ayyanna patrudu ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xWwR3dQDNto,2022-10-16,347.0,16.0,6748.0,0.9211238026618958,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLX0-q9mKcQ,2022-12-01,231.0,2.0,22348.0,-0.9966452717781068,TV9,ayyanna patrudu ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DF0Cc-bkyv0,2023-02-12,316.0,34.0,48267.0,0.9969791173934937,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svgd-0X08qQ,2022-11-23,190.0,3.0,5324.0,-0.9971164464950562,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3ufwdJEOhd0,2022-11-03,104.0,9.0,2322.0,-0.998449206352234,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4XNUibH08Ek,2022-11-04,129.0,0.0,2632.0,-0.996057391166687,ABN,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
E0HzgKdXbyI,2022-10-03,595.0,0.0,1039.0,0.998230278491974,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pFA256nV8oQ,2023-02-24,120.0,2.0,1127.0,-0.998310685157776,ABN,ayyanna patrudu ,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6KSki24yPzk,2022-11-03,257.0,1.0,1955.0,-0.9988572597503662,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75ovG1CPtOc,2022-11-03,120.0,1.0,3893.0,-0.9975321292877196,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
