ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,gannavaram_vamsi.png,jaggayyapeta.png,kodur.png,venkatagiri.png,vishakapatnam_west.png,kakinada.png,rajahmundry_rural.png,venkat_krishna.png,pulivendula.png,kanigiri.png,kalayan_durg.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,tekkali.png,jammalamadugu.png,denduluru.png
YLiSG3-oceY,2023-03-01,59.0,532.0,274371.0,-0.8781490325927734,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72dYTAuUCHc,2023-01-05,295.0,3.0,2957.0,-0.998504638671875,ABN,butchaiah chowdary,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
t_lPzAk56SM,2021-02-20,213.0,0.0,2274.0,0.998498558998108,Sakshi,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wz4GnMXtYP0,2023-03-15,260.0,4.0,2095.0,-0.9985003471374512,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLX0-q9mKcQ,2022-12-01,231.0,2.0,22348.0,-0.9966452717781068,TV9,butchaiah chowdary,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mqb88ru1RSc,2022-08-22,119.0,35.0,4433.0,-0.983911395072937,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DF0Cc-bkyv0,2023-02-12,316.0,34.0,48267.0,0.9969791173934937,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uio0juPmRzk,2022-12-23,200.0,20.0,10906.0,-0.9934866428375244,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L4lSjtaBu7g,2022-11-05,60.0,1.0,2971.0,0.9947858452796936,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MWQ7vbaY6zs,2023-01-07,252.0,3.0,4905.0,-0.9962660670280457,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC1IwnB3XZY,2022-09-15,287.0,253.0,171188.0,-0.9960485100746156,Sakshi,butchaiah chowdary,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
E0HzgKdXbyI,2022-10-03,595.0,0.0,1039.0,0.998230278491974,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74Ubi83mpfI,2022-12-30,204.0,1.0,708.0,-0.9991100430488586,TV9,butchaiah chowdary,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
QjpyxzjLe_s,2023-03-21,136.0,28.0,5852.0,0.9952978491783142,Sakshi,butchaiah chowdary,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
o4D0_Ou5O6A,2023-03-25,87.0,16.0,14477.0,-0.9994304776191713,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gOV2Lat0cwY,2023-01-27,192.0,6.0,25320.0,0.9957255125045776,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5wRLmxTlA0E,2023-03-23,283.0,1.0,10342.0,-0.9992501139640808,TV9,butchaiah chowdary,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cbacQ77spio,2023-03-13,219.0,11.0,29839.0,-0.9994353652000428,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TDsMzGOO7QA,2022-12-20,204.0,18.0,21626.0,-0.993137001991272,TV9,butchaiah chowdary,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
AZIc9f6HBhY,2021-02-15,186.0,0.0,1664.0,0.9921661615371704,Sakshi,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8Dk12emoNTc,2022-12-01,174.0,4.0,1759.0,0.9901717305183412,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
b9AMQ2mroOM,2022-12-21,210.0,5.0,1694.0,0.995193898677826,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
qiPr8xCvEHk,2022-09-19,480.0,31.0,39779.0,0.9986088871955872,Sakshi,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
eh3GHg3jick,2023-03-16,190.0,5.0,4808.0,-0.9993376135826112,TV5,butchaiah chowdary,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
exyaLF4_YTA,2022-11-25,218.0,8.0,28606.0,-0.9941347241401672,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSlogXb40Fc,2023-02-13,195.0,3.0,4742.0,0.9924591183662416,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
