ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,gannavaram_vamsi.png,jaggayyapeta.png,venkatagiri.png,kakinada.png,eluru.png,pulivendula.png,kalayan_durg.png,Venkata_Mahesh.png,tekkali.png,denduluru.png,tirupati_l2.png
bwPI6Cws5kw,2023-04-18,77.0,0.0,544.0,0.9985365867614746,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
8GaAMNt7NZc,2023-03-20,60.0,0.0,960.0,0.9981961846351624,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
t_lPzAk56SM,2021-02-20,213.0,0.0,2274.0,0.998498558998108,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
TLX0-q9mKcQ,2022-12-01,231.0,2.0,22348.0,-0.9966452717781068,TV9,chintamaneni prabhakar,1,1,1,0,0,0,0,0,0,0,0,0
DF0Cc-bkyv0,2023-02-12,316.0,34.0,48267.0,0.9969791173934937,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
12Y2i5kfIk8,2022-09-01,279.0,4.0,3053.0,-0.9944551587104796,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
hYG_mnYM8Mc,2021-02-17,207.0,0.0,2287.0,0.9970335960388184,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
R_KSAGJUuz4,2022-09-12,80.0,64.0,28102.0,0.9848173260688782,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
frEZg6-NzkE,2023-01-24,74.0,0.0,874.0,0.9836058616638184,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
rMNKM26evf8,2023-01-02,7110.0,4.0,15847.0,0.9914858937263488,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
