ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,tenali.png,venkatagiri.png,eluru.png,venkat_krishna.png,palakollu.png,vinukonda.png,kalayan_durg.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,tekkali.png,jammalamadugu.png
hh2imbhjHb8,2022-08-22,85.0,329.0,94222.0,-0.99148690700531,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
vVM9jhdfbvU,2023-02-07,174.0,0.0,3082.0,0.9931333661079408,TV5,undavalli arun kumar,0,0,0,0,0,1,0,1,0,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
Qy-R9liLAXQ,2022-08-22,42895.0,65.0,227826.0,0.9986507296562196,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
lEZt0Kuu0X8,2023-01-24,100.0,89.0,108592.0,0.997575581073761,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
jU-TXWmkf_4,2022-10-28,77.0,0.0,1079.0,0.9977254271507264,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
sUFwM4nKmQs,2022-12-07,225.0,4.0,841.0,-0.9943172335624696,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
T3evlgEhrSI,2022-12-10,259.0,5.0,8248.0,0.9945637583732604,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,1
LIbSq65Wba4,2023-03-19,346.0,0.0,2454.0,0.9904049634933472,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
HJ_OPHLYGkk,2022-12-12,53.0,0.0,428.0,0.9958881735801696,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
64YVyovC6Xc,2023-03-08,296.0,37.0,12806.0,-0.9980921149253844,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
o9-F7I7i5q8,2022-12-08,362.0,36.0,20652.0,-0.9964115023612976,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,1,0
dEuN8PPiJTg,2022-10-23,139.0,7.0,4314.0,0.9988555908203124,TV5,undavalli arun kumar,0,0,0,0,0,0,0,1,0,0,0,0
YFuLXG-9qQQ,2023-04-18,330.0,129.0,327792.0,-0.9955356121063232,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
F4fXyUmfbaw,2022-09-21,321.0,1.0,793.0,0.998493194580078,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
zthGR0wG2qs,2022-12-21,285.0,2.0,1009.0,0.9902008175849916,TV9,undavalli arun kumar,1,0,1,0,0,0,0,0,1,0,1,0
2prYu_Y-r1Q,2023-04-11,580.0,414.0,181752.0,0.9964666366577148,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
CMXXVDIo5cw,2022-10-15,299.0,4.0,1774.0,-0.996557116508484,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
PrZhCYjq-g8,2023-04-04,272.0,35.0,3859.0,-0.9993292093276978,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,1
PlilqosM37s,2023-04-14,203.0,21.0,13195.0,-0.9987254738807678,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
8Oo2U9ako_w,2023-03-14,206.0,5.0,2638.0,-0.9981649518013,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
9x47I-MPGec,2022-12-11,267.0,2.0,5493.0,-0.99893718957901,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,1
H1GziUY9hsg,2022-12-28,114.0,6.0,1994.0,0.9987871050834656,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
Y2Rk2b5NcZ0,2023-02-11,329.0,0.0,374.0,0.9836422204971312,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
Id39UlUvKUU,2022-11-25,208.0,0.0,58301.0,-0.996977686882019,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
jgc11Mw5kBs,2023-03-27,350.0,46.0,39016.0,-0.9993133544921876,ABN,undavalli arun kumar,0,0,0,0,1,0,0,0,0,0,0,0
n_KxFDik0GI,2022-08-29,277.0,27.0,6454.0,-0.9944104552268982,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
iTaI3qBsAsU,2023-03-02,178.0,10.0,4846.0,-0.9990237951278688,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
