ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,gannavaram_vamsi.png,jaggayyapeta.png,kodur.png,venkatagiri.png,vishakapatnam_west.png,kakinada.png,tadikonda.png,eluru.png,venkat_krishna.png,pulivendula.png,kanigiri.png,kalayan_durg.png,sattenapalli.png,tekkali.png
acuAaY_1o00,2022-11-25,136.0,38.0,24180.0,-0.9963657855987548,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rb4nrgdBgm0,2022-09-15,324.0,4.0,4436.0,-0.9978528022766112,TV5,bhuma akhila priya,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
9cNfk_Xbk9Q,2022-09-22,79.0,11.0,2007.0,0.9961817264556884,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wBfPfMzYwNE,2022-12-31,386.0,2.0,3627.0,0.9987718462944032,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fq017U7OC2I,2022-11-20,129.0,3.0,1565.0,-0.9937142729759216,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
lbivow6u8uQ,2023-02-01,456.0,131.0,163699.0,-0.989644169807434,TV9,bhuma akhila priya,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2PK9KiIGyFk,2022-11-02,185.0,0.0,368.0,-0.9978125095367432,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J4NPmkv27ls,2023-01-19,199.0,2.0,22543.0,-0.994531512260437,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PASywo7wm08,2022-12-03,132.0,3.0,3659.0,0.9987609386444092,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fd0mb73Q2Ug,2022-11-22,211.0,6.0,34382.0,-0.997994303703308,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dLMi6H93L88,2022-09-26,428.0,5.0,5465.0,-0.9902598261833192,TV5,bhuma akhila priya,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
joD0fwXjPG8,2022-11-26,219.0,1.0,2471.0,-0.9978708028793336,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ai9MUq_t6Uc,2022-08-29,213.0,0.0,582.0,0.9957125186920166,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
