ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,kodur.png,mummidivaram.png,kondapi.png,pulivendula.png,tuni.png
DySY9XgLwpg,2021-02-15,224.0,0.0,2383.0,-0.991324543952942,Sakshi,Dadisetti Raja,0,0,0,0,0
TPKaBVHaZVw,2023-01-07,60.0,2.0,1312.0,0.9983339905738832,Sakshi,Dadisetti Raja,0,0,0,0,0
rH7Xz24Wc7s,2021-12-14,120.0,13.0,11101.0,0.9675866961479188,Sakshi,Dadisetti Raja,0,0,0,0,0
AllD2U4DzJU,2022-10-02,248.0,12.0,2813.0,0.9979986548423768,Sakshi,Dadisetti Raja,0,0,0,0,1
JLbsGKBypNA,2022-05-25,108.0,189.0,42640.0,-0.9376434087753296,Sakshi,Dadisetti Raja,1,1,0,0,1
3XHvxpAk7xg,2022-10-28,301.0,1.0,2246.0,-0.9977241158485411,ABN,Dadisetti Raja,0,0,0,0,0
9E7JpMLdWtk,2022-12-01,41.0,1.0,850.0,0.9973995685577391,TV9,Dadisetti Raja,0,0,0,0,0
RPlI1lrQxSw,2023-02-13,315.0,1.0,1661.0,-0.9944420456886292,ABN,Dadisetti Raja,1,0,0,0,0
EaFL1jTEv0U,2022-12-31,239.0,2.0,36144.0,-0.9927859902381896,TV9,Dadisetti Raja,0,0,0,0,0
eGy1nmzpOEc,2023-02-11,110.0,1.0,692.0,0.9959666728973388,Sakshi,Dadisetti Raja,0,0,0,0,1
8iAl45V2fvM,2022-10-19,208.0,3.0,1427.0,0.998105764389038,ABN,Dadisetti Raja,0,0,0,0,0
uBXTO-8kn9Y,2023-02-03,299.0,3.0,2001.0,-0.9192546010017396,TV9,Dadisetti Raja,0,0,0,0,0
0MghXwlmj00,2022-11-09,365.0,0.0,3044.0,-0.9955291152000428,ABN,Dadisetti Raja,0,0,0,0,0
whnahaQ1Ffg,2023-03-13,324.0,10.0,1471.0,-0.9985108971595764,TV9,Dadisetti Raja,0,0,1,0,1
jOMwLmxbg-w,2022-10-28,125.0,4.0,1042.0,-0.9893788695335388,ABN,Dadisetti Raja,0,0,0,0,0
uUo1_4sAGNA,2023-03-27,117.0,5.0,3657.0,0.991778552532196,Sakshi,Dadisetti Raja,0,1,0,0,1
dI1R0gIU4v4,2022-11-22,220.0,3.0,34300.0,-0.9954896569252014,TV9,Dadisetti Raja,0,0,0,0,0
-IXF4CD8T7o,2023-02-13,270.0,5.0,4282.0,0.9984591007232666,TV5,Dadisetti Raja,1,1,0,0,1
8_fB2mMtP4Y,2022-12-29,269.0,2.0,1706.0,-0.9982796907424928,Sakshi,Dadisetti Raja,1,1,1,0,1
_VPlsidsdfs,2023-01-23,105.0,12.0,8547.0,0.9979815483093262,TV9,Dadisetti Raja,0,0,0,0,0
FTTEVxpvpaA,2022-02-23,168.0,195.0,64805.0,-0.9868853092193604,Sakshi,Dadisetti Raja,0,0,1,0,1
bQCrM69hjvM,2023-03-24,272.0,1.0,768.0,-0.987585186958313,TV5,Dadisetti Raja,0,0,0,0,0
AswcjfI4BQQ,2023-01-28,275.0,3.0,6139.0,0.9961950778961182,TV5,Dadisetti Raja,1,0,0,0,0
lJFz5OQaNiw,2023-01-24,285.0,4.0,1557.0,-0.9989866614341736,ABN,Dadisetti Raja,0,0,0,0,0
o1cvXAZ7cVw,2022-04-25,328.0,103.0,6725.0,-0.9984446167945862,Sakshi,Dadisetti Raja,1,0,1,0,1
vbhBi37F1K8,2022-12-05,208.0,8.0,9539.0,-0.9971676468849182,TV5,Dadisetti Raja,0,0,0,0,0
kFOapS6gJfs,2023-03-19,109.0,16.0,2310.0,0.8853173851966858,TV9,Dadisetti Raja,0,0,0,0,0
4yIZX2lAYFg,2022-11-17,507.0,26.0,10213.0,-0.9968336224555968,Sakshi,Dadisetti Raja,0,0,0,0,1
HM85XkwTt1w,2022-12-02,398.0,2.0,2505.0,-0.9984951019287108,TV5,Dadisetti Raja,0,0,0,1,0
