ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,tenali.png,kodur.png,pulivendula.png,Venkata_Mahesh.png,myalavaram.png
jPkVRSe_s-8,2023-02-10,339.0,1.0,1450.0,-0.9993374943733216,TV5,Devineni Uma,0,0,0,0,0
Alw1Jq8hwko,2023-04-12,83.0,1.0,2176.0,-0.9990641474723816,ABN,Devineni Uma,0,0,0,0,0
gawnyt6u2SA,2022-09-13,504.0,121.0,25706.0,-0.9991912245750428,Sakshi,Devineni Uma,0,1,0,0,0
rZWhOuXjhpU,2023-03-01,124.0,2.0,510.0,-0.9987362027168274,ABN,Devineni Uma,0,0,0,0,0
yHXtV4BgM_c,2023-01-05,226.0,30.0,164406.0,-0.9968475699424744,TV9,Devineni Uma,0,0,0,0,0
R1z2FdZdwf8,2023-02-13,218.0,13.0,146352.0,-0.973841667175293,TV9,Devineni Uma,0,0,0,0,0
eLmAv9oUSH0,2022-12-05,202.0,0.0,2530.0,0.9976851940155028,TV9,Devineni Uma,0,0,0,0,0
1CpFMcUjrv0,2022-12-17,42897.0,4.0,11913.0,-0.9975076913833618,ABN,Devineni Uma,0,0,0,0,0
kN--hEpGfAo,2023-03-05,75.0,0.0,1975.0,0.9953364729881288,TV5,Devineni Uma,0,0,0,0,0
0xaEOd_y1DA,2022-11-23,218.0,1.0,16751.0,-0.9913821816444396,TV9,Devineni Uma,0,0,0,0,0
M060li1C7Gg,2022-11-25,175.0,1.0,1032.0,-0.994880199432373,TV9,Devineni Uma,0,0,0,0,1
O8v8BN6Zme4,2023-02-19,139.0,0.0,6446.0,0.9985653758049012,TV9,Devineni Uma,0,0,0,1,0
6v_JfXasewo,2022-12-26,81.0,4.0,3635.0,-0.9990701079368592,ABN,Devineni Uma,0,0,0,0,0
32wZohcPty0,2023-04-15,4720.0,18.0,24965.0,-0.906401515007019,TV9,Devineni Uma,0,0,0,0,0
NfGW-7YXB18,2023-04-11,77.0,3.0,11152.0,0.9881795644760132,ABN,Devineni Uma,1,0,0,0,0
